"","Date","HomeTeam","AwayTeam","FTHG","FTAG","FTR","HS","AS","HST","AST","HC","AC"
"134",2014-12-14,"Leverkusen","M'gladbach","1","1","D",22,7,5,3,5,6
"135",2014-12-14,"Wolfsburg","Paderborn","1","1","D",21,6,8,3,11,1
"136",2014-12-16,"Bayern Munich","Freiburg","2","0","H",31,2,13,0,10,1
"137",2014-12-16,"FC Koln","Mainz","0","0","D",11,13,1,1,9,3
"138",2014-12-16,"Hamburg","Stuttgart","0","1","A",8,16,2,6,6,5
"139",2014-12-16,"Hannover","Augsburg","2","0","H",10,10,3,5,8,5
"140",2014-12-17,"Dortmund","Wolfsburg","2","2","D",17,10,6,4,4,5
"141",2014-12-17,"Ein Frankfurt","Hertha","4","4","D",16,8,7,5,5,4
"142",2014-12-17,"Hoffenheim","Leverkusen","0","1","A",9,18,7,9,1,10
"143",2014-12-17,"M'gladbach","Werder Bremen","4","1","H",9,9,6,4,2,1
"144",2014-12-17,"Paderborn","Schalke 04","1","2","A",21,16,4,8,5,7
"145",2014-12-19,"Mainz","Bayern Munich","1","2","A",5,12,3,5,4,10
"146",2014-12-20,"Augsburg","M'gladbach","2","1","H",18,14,6,7,4,7
"147",2014-12-20,"Leverkusen","Ein Frankfurt","1","1","D",16,9,3,5,4,1
"148",2014-12-20,"Schalke 04","Hamburg","0","0","D",17,15,8,6,6,4
"149",2014-12-20,"Stuttgart","Paderborn","0","0","D",11,17,3,5,5,5
"150",2014-12-20,"Werder Bremen","Dortmund","2","1","H",12,14,3,5,2,6
"151",2014-12-20,"Wolfsburg","FC Koln","2","1","H",14,10,3,4,4,4
"152",2014-12-21,"Freiburg","Hannover","2","2","D",11,17,6,8,6,5
"153",2014-12-21,"Hertha","Hoffenheim","0","5","A",8,15,1,8,2,9
"154",2015-01-30,"Wolfsburg","Bayern Munich","4","1","H",13,16,6,7,1,5
"155",2015-01-31,"Freiburg","Ein Frankfurt","4","1","H",15,12,8,6,3,5
"156",2015-01-31,"Hamburg","FC Koln","0","2","A",10,15,3,6,3,3
"157",2015-01-31,"Leverkusen","Dortmund","0","0","D",7,10,3,2,4,3
"158",2015-01-31,"Mainz","Paderborn","5","0","H",21,10,8,2,9,4
"159",2015-01-31,"Schalke 04","Hannover","1","0","H",15,13,5,1,5,7
"160",2015-01-31,"Stuttgart","M'gladbach","0","1","A",12,10,1,2,4,8
"161",2015-02-01,"Augsburg","Hoffenheim","3","1","H",15,13,7,5,4,7
"162",2015-02-01,"Werder Bremen","Hertha","2","0","H",19,3,8,0,6,3
"163",2015-02-03,"Bayern Munich","Schalke 04","1","1","D",10,8,2,5,5,1
"164",2015-02-03,"Ein Frankfurt","Wolfsburg","1","1","D",12,9,4,2,1,6
